qr_content,label,group_vpa,length,vpa_local_entropy,vpa_handle_entropy,vpa_length,digits_ratio,amount_value,vpa_age_proxy,num_parameters,has_suspicious_keywords,is_valid_vpa,bank_handle,risky_handle,amount_is_integer,amount_suspicious,location_risk_proxy
upi://pay?pa=priya_khan@paytm&pn=Priya%20Khan&am=144.83,0,priya_khan@paytm,52,3.1219280948873624,2.321928094887362,16,0.0,140.61,76,3,0,1,1,0,0,0,0
upi://pay?pa=vikram2996@barodampay&pn=Vikram%20Gupta&am=263.60,1,vikram2996@barodampay,59,3.1219280948873624,2.8464393446710154,21,0.19047619047619047,265.2,34,3,0,1,1,0,0,0,0
upi://pay?pa=payment6653@gift&pn=Payment%20Support&am=200.00,1,payment6653@gift,59,3.2776134368191157,2.0,16,0.25,200.75,33,3,0,1,0,1,0,0,1
upi://pay?pa=kiran.das706@axis&pn=Kiran%20Das&am=500.00,0,kiran.das706@axis,56,3.4182958340544896,2.0,17,0.17647058823529413,489.04,81,3,0,1,1,0,0,0,0
upi://pay?pa=neha7072@xpay&pn=Neha%20Das&am=1000.00,1,neha7072@xpay,52,2.75,2.0,13,0.3076923076923077,979.05,43,3,0,1,0,1,0,0,1
upi://pay?pa=anita8644@bonus&pn=Anita%20Iyer&am=1500.00,1,anita8644@bonus,54,2.725480556997868,2.321928094887362,15,0.26666666666666666,1526.34,6,3,0,1,0,1,0,0,1
upi://pay?pa=secure2829@gift&pn=Secure%20Login&am=207.15,1,secure2829@gift,56,2.9219280948873623,2.0,15,0.26666666666666666,211.97,60,3,1,1,0,1,0,0,1
upi://pay?pa=anitadas@hdfc&pn=Anita%20Das&am=76.02,0,anitadas@hdfc,47,2.4056390622295662,2.0,13,0.0,75.03,86,3,0,1,1,0,0,0,0
upi://pay?pa=priyapatel@barodampay&pn=Priya%20Patel&am=486.93,0,priyapatel@barodampay,58,2.9219280948873623,2.8464393446710154,21,0.0,485.12,80,3,0,1,1,0,0,0,0
upi://pay?pa=help3221@secure&pn=Help%20Desk&am=900.00,1,help3221@secure,52,2.75,2.2516291673878226,15,0.26666666666666666,892.17,56,3,0,1,0,1,0,0,1
upi://pay?pa=help7998@okaxis&pn=Help%20Desk&am=88.90,0,help7998@okaxis,51,2.75,2.584962500721156,15,0.26666666666666666,86.62,49,3,0,1,1,0,0,0,0
upi://pay?pa=sneha_reddy@oksbi&pn=Sneha%20Reddy&am=203.67,0,sneha_reddy@oksbi,57,3.095795255000934,2.321928094887362,17,0.0,205.79,63,3,0,1,1,0,0,0,0
upi://pay?pa=aman.reddy@sbi&pn=Aman%20Reddy&am=316.28,0,aman.reddy@sbi,55,2.9219280948873623,1.584962500721156,14,0.0,322.45,76,3,0,1,1,0,0,0,0
upi://pay?pa=rahul1289@okaxis&pn=Rahul%20Gupta&am=412.53,1,rahul1289@okaxis,57,3.169925001442312,2.584962500721156,16,0.25,407.7,52,3,0,1,1,0,0,0,0
upi://pay?pa=help6831@okaxis&pn=Help%20Desk&am=900.00,1,help6831@okaxis,51,3.0,2.584962500721156,15,0.26666666666666666,926.47,74,3,0,1,1,0,0,0,0
upi://pay?pa=neha.singh185@bonus&pn=Neha%20Singh&am=459.56,0,neha.singh185@bonus,60,3.3927474104487847,2.321928094887362,19,0.15789473684210525,447.86,38,3,0,1,0,1,0,0,1
upi://pay?pa=sneha8479@axis&pn=Sneha%20Sharma&am=100.00,1,sneha8479@axis,58,3.169925001442312,2.0,14,0.2857142857142857,100.97,63,3,0,1,1,0,0,0,0
upi://pay?pa=payment2681@gift&pn=Payment%20Support&am=1500.00,1,payment2681@gift,62,3.4594316186372973,2.0,16,0.25,1495.34,56,3,0,1,0,1,0,0,1
upi://pay?pa=help5240@secure&pn=Help%20Desk&am=1000.00,1,help5240@secure,51,3.0,2.2516291673878226,15,0.26666666666666666,996.8,40,3,0,1,0,1,0,0,1
